IndID,OvrTeamID,TeamMembers,TeamLevelAnalysis,Proactivity_T,SelfEfficacy_T,Extraversion,Agreeable,Conscientious,Neurotic,Open,Age,Sex,Class,Race,GPA,IntProject,Communication,Finance,MGMT_OVERALL,t1.MindfulnessTotal,Perf
1,1,6, ,4.25,6,6.5,4,6,4,6,19,0,1,0,3.722,3.67,4,3,93.67272727,5.16,98
6,1,6,1,3,4.25,5,2.5,4.5,4.5,3,19,1,1,0,3.416,3.33,4,3.67,96.17402597,4.33,98
24,1,6, ,3.5,5.75,4,7,6.5,2,4,20,1,1,0,3.374,4,4,3,93.9,5.22,98
25,1,6, ,3.25,4.75,3.5,4,4.5,4,3.5,19,1,1,2, , , , ,92.71168831,4.11,98
34,1,6, ,4.5,6,5,6.5,6.5,2.5,4.5,19,1,1,2,3.477,4,4,3.67,93.75454545,5,98
35,1,6, ,4.25,4.75,4.5,4.5,5,3.5,4,21,0,1,2,3.021,3.67,4,4,93.67272727,3.89,98
2,2,6,1,3.75,5.75,3,4.5,4.5,2.5,4.5,20,0,2,1,3.536,4,4,3.33,87.56493506,3.94,89
10,2,6, ,4,6,6,6.5,6.5,2,6,19,0,1,0,3.463,4,3.67,3.67,93.16753247,5.11,89
17,2,6, ,4.25,5.75,3.5,4.5,6.5,2.5,6,20,1,1,0,3.148,3.67,4,2.33,88.53766234,4.83,89
23,2,6, , , , , , , , , , , , ,2.874,3.33,4,2.67,89.93376623, ,89
28,2,6, ,4.5,6.25,4,3.5,7,3,5.5,19,1,1,2,3.15,3,3.67,3.33,85.22077922,4.67,89
31,2,6, ,3.75,6,5.5,4,4,2,6.5,19,1,1,0,3.547,4,4,4,92.68701299,5.39,89
7,3,5,1,4,6.25,4.5,3.5,5,1,5,19,1,1,0,3.129,4,3.67,3,94.5961039,5.11,94
11,3,5, ,4,5.25,6,3.5,7,4,5.5,19,1,1, ,3.346,4,4,3.67,93.17532468,4.05,95
20,3,5, , , , , , , , , , , , ,3.361,4,4,4,91.53766234, ,94
27,3,5, ,4,6,7,3.5,7,2,4,20,0,1,0,3.798,4,4,4,96.77142857,4.72,94
29,3,5, ,4.25,6,5,6.5,7,1.5,6.5,19,0,1,2,3.1,4,3.67,3,96.91428571,5.22,94
3,4,6, ,4.75,5.75,3,5,5.5,4,3.5,19,1,1,0,3.177,2,4,3,96.27142857,4.78,99
4,4,6,1,4,5.75,6,2.5,6,2.5,5,19,1,2,0,3.84,4,4,4,95.51298701,4.5,99
9,4,6, ,4.5,6.5,5.5,4,6.5,4,4.5,19,1,2,2,3.592,4,4,3.67,93.85714286,4.78,99
15,4,6, ,4.75,7,5,1.5,7,3,6,19,1,1,0,3.926,4,4,4,94.76363636,5.44,99
